=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:49.689111
执行时间: 3.05秒
内存使用变化: 4.45MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
    77220    0.086    0.000    0.122    0.000 C:\python\python3.12\Lib\site-packages\backtrader\utils\autodict.py:100(__getattr__)
     1000    0.009    0.000    0.119    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:547(transmit)
    24018    0.119    0.000    0.119    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:6323(__setattr__)
     8014    0.029    0.000    0.119    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:342(_from_mgr)
     2970    0.031    0.000    0.118    0.000 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:503(_addnotification)
    75960    0.078    0.000    0.115    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:270(__getattr__)
     1584    0.047    0.000    0.115    0.000 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:358(_tick_fill)
     1604    0.012    0.000    0.115    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\arrays\_mixins.py:278(__getitem__)
     6950    0.041    0.000    0.111    0.000 C:\python\python3.12\Lib\copy.py:259(_reconstruct)
      990    0.007    0.000    0.111    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:585(submit_accept)
    16004    0.045    0.000    0.110    0.000 {built-in method builtins.any}
    43836    0.088    0.000    0.108    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:162(__getitem__)
     1600    0.055    0.000    0.103    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\arrays\datetimes.py:547(_box_func)
     4960    0.102    0.000    0.102    0.000 {method 'strftime' of 'datetime.date' objects}
     8000    0.043    0.000    0.099    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1653(_is_scalar_access)
     2980    0.010    0.000    0.097    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:216(clone)
     5262    0.075    0.000    0.097    0.000 C:\python\python3.12\Lib\site-packages\backtrader\utils\dateintern.py:149(num2date)
     1240    0.048    0.000    0.096    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:243(donew)
     8000    0.034    0.000    0.093    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\series.py:1483(_set_as_cached)
    13006    0.016    0.000    0.092    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:463(__len__)
     3880    0.017    0.000    0.089    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:386(datetime)
     8022    0.064    0.000    0.081    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:281(__init__)
 1386/990    0.009    0.000    0.075    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:334(_next)
    24000    0.041    0.000    0.068    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1182(<genexpr>)
      990    0.015    0.000    0.066    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:41(notify_trade)
    38138    0.049    0.000    0.066    0.000 C:\python\python3.12\Lib\site-packages\backtrader\utils\autodict.py:106(__setattr__)
     1400    0.016    0.000    0.059    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:346(_dt_over)
      100    0.021    0.000    0.058    0.001 C:\Users\21471\WorkBuddy\quant system\backtest_system\optimized_backtest_engine.py:607(_build_market_data)
     1600    0.014    0.000    0.056    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:291(advance)
    13006    0.019    0.000    0.056    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:216(__len__)
     1386    0.005    0.000    0.056    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:184(_next)
      100    0.020    0.000    0.054    0.001 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:399(_build_market_data)
       22    0.001    0.000    0.053    0.002 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:243(_addanalyzer)
   115358    0.052    0.000    0.052    0.000 {method 'startswith' of 'str' objects}
    59328    0.052    0.000    0.052    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:61(__get__)
    11680    0.044    0.000    0.051    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:214(__setitem__)
       28    0.022    0.001    0.050    0.002 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:35(donew)
     8010    0.015    0.000    0.049    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\series.py:834(_values)
91566/91562    0.045    0.000    0.046    0.000 {built-in method builtins.isinstance}
      200    0.023    0.000    0.046    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:422(_get_value)
      990    0.020    0.000    0.044    0.000 C:\python\python3.12\Lib\site-packages\backtrader\trade.py:220(update)
     8012    0.021    0.000    0.043    0.000 {built-in method builtins.all}
    87766    0.043    0.000    0.043    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:82(get_idx)
     2600    0.031    0.000    0.043    0.000 C:\python\python3.12\Lib\site-packages\backtrader\utils\dateintern.py:202(date2num)
      202    0.003    0.000    0.042    0.000 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1669(<listcomp>)
    21646    0.027    0.000    0.042    0.000 {built-in method builtins.hasattr}
    11200    0.027    0.000    0.042    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:277(advance)
     1600    0.040    0.000    0.040    0.000 {method 'view' of 'numpy.generic' objects}
     1616    0.012    0.000    0.039    0.000 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:369(advance_peek)
     1600    0.021    0.000    0.036    0.000 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:347(_tick_nullify)
    40968    0.036    0.000    0.036    0.000 {built-in method builtins.setattr}
