=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:46.420195
执行时间: 2.88秒
内存使用变化: 4.96MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
     2480    0.048    0.000    0.048    0.000 {method 'strftime' of 'datetime.date' objects}
      800    0.024    0.000    0.048    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\arrays\datetimes.py:547(_box_func)
     2631    0.036    0.000    0.047    0.000 C:\python\python3.12\Lib\site-packages\backtrader\utils\dateintern.py:149(num2date)
     1490    0.005    0.000    0.047    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:216(clone)
     4000    0.016    0.000    0.045    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\series.py:1483(_set_as_cached)
     1940    0.008    0.000    0.043    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:386(datetime)
     4015    0.031    0.000    0.040    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:281(__init__)
  693/495    0.004    0.000    0.035    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:334(_next)
       11    0.000    0.000    0.035    0.003 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:243(_addanalyzer)
       14    0.015    0.001    0.033    0.002 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:35(donew)
    12000    0.019    0.000    0.032    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1182(<genexpr>)
     6503    0.010    0.000    0.031    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:216(__len__)
    19069    0.023    0.000    0.031    0.000 C:\python\python3.12\Lib\site-packages\backtrader\utils\autodict.py:106(__setattr__)
      495    0.007    0.000    0.031    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:41(notify_trade)
        8    0.000    0.000    0.030    0.004 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:402(_df_to_feed)
      700    0.008    0.000    0.028    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:346(_dt_over)
      693    0.002    0.000    0.027    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:184(_next)
      800    0.007    0.000    0.027    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:291(advance)
    29664    0.025    0.000    0.025    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:61(__get__)
    57679    0.025    0.000    0.025    0.000 {method 'startswith' of 'str' objects}
     4005    0.007    0.000    0.024    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\series.py:834(_values)
     5840    0.021    0.000    0.024    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:214(__setitem__)
45982/45980    0.023    0.000    0.024    0.000 {built-in method builtins.isinstance}
      100    0.011    0.000    0.022    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:422(_get_value)
      495    0.010    0.000    0.021    0.000 C:\python\python3.12\Lib\site-packages\backtrader\trade.py:220(update)
     4006    0.010    0.000    0.021    0.000 {built-in method builtins.all}
    43883    0.021    0.000    0.021    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:82(get_idx)
      101    0.002    0.000    0.020    0.000 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1669(<listcomp>)
     1300    0.015    0.000    0.020    0.000 C:\python\python3.12\Lib\site-packages\backtrader\utils\dateintern.py:202(date2num)
    10831    0.013    0.000    0.020    0.000 {built-in method builtins.hasattr}
     5600    0.013    0.000    0.020    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:277(advance)
      800    0.020    0.000    0.020    0.000 {method 'view' of 'numpy.generic' objects}
    20484    0.019    0.000    0.019    0.000 {built-in method builtins.setattr}
      808    0.006    0.000    0.019    0.000 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:369(advance_peek)
        1    0.000    0.000    0.019    0.019 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:282(_collect_results)
       19    0.002    0.000    0.017    0.001 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:406(donew)
      800    0.010    0.000    0.017    0.000 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:347(_tick_nullify)
     4005    0.013    0.000    0.017    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:2023(internal_values)
      995    0.005    0.000    0.017    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:450(submit)
    26187    0.016    0.000    0.016    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:320(__getitem__)
     4741    0.016    0.000    0.016    0.000 {built-in method builtins.round}
    12000    0.012    0.000    0.016    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:2808(<genexpr>)
        3    0.000    0.000    0.015    0.005 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:250(_addobserver)
    12000    0.011    0.000    0.014    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:2817(<genexpr>)
        8    0.000    0.000    0.014    0.002 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:7304(sort_index)
        8    0.000    0.000    0.014    0.002 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:5312(sort_index)
    14318    0.013    0.000    0.013    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:85(set_idx)
       11    0.004    0.000    0.013    0.001 C:\python\python3.12\Lib\site-packages\backtrader\lineiterator.py:39(donew)
     6503    0.013    0.000    0.013    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:149(__len__)
      495    0.002    0.000    0.013    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:566(execute)
     8001    0.009    0.000    0.013    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\common.py:372(apply_if_callable)
      100    0.005    0.000    0.012    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:376(_get_current_portfolio)
     3475    0.012    0.000    0.012    0.000 {method '__reduce_ex__' of 'object' objects}
     5530    0.006    0.000    0.011    0.000 {built-in method builtins.max}
       10    0.000    0.000    0.011    0.001 C:\python\python3.12\Lib\site-packages\backtrader\observer.py:30(donew)
